Time (ns),Variation (uJ)
"218048088250.0","2435.2999999999997"
"219048225250.0","2435.6000000000004"
"220048365750.0","2446.85"
"221048575250.0","2462.7000000000003"
"222048823250.0","2420.125"
"223049102750.0","2431.875"
"224049286750.0","2419.3500000000004"
"225049392500.0","2443.6499999999996"
"226049606750.0","2430.25"
"227049769000.0","2419.425"
"228049944250.0","2431.025"
"229050100750.0","2417.475"
"230050223250.0","2439.75"
"231050444000.0","2426.35"
"232050728500.0","2413.7"
"233050985750.0","2424.875"
"234051125750.0","2409.4"
"235051286750.0","2433.0750000000003"
"236051583000.0","2421.625"
"237051844500.0","2454.8"
"238052188500.0","2421.55"
"239052370250.0","2413.575"
"240052491250.0","2437.6"
"241052778250.0","2413.775"
"242052992500.0","2426.8"
"243053290000.0","2427.225"
"244053488250.0","2413.6499999999996"
"245053609500.0","2425.925"
"246053876500.0","2427.1749999999997"
"247054101250.0","2427.0"
"248054304750.0","2427.7749999999996"
"249054436000.0","2415.075"
"250054557000.0","2427.75"
"251054774250.0","2427.725"
"252054945000.0","2427.225"
"253055137250.0","2471.3"
"254055315750.0","2415.8"
"255055429500.0","2427.9500000000003"
"256055689250.0","2427.2000000000003"
"257055872750.0","2416.575"
"258056159250.0","2440.6499999999996"
"259056332000.0","2416.05"
"260056438000.0","2428.8"
"261056669000.0","2428.9"
"262056882500.0","2417.1"
"263057105750.0","2441.225"
"264057239500.0","2417.875"
"265057372750.0","2430.4000000000005"
"266057603250.0","2430.425"
"267057760000.0","2416.4249999999997"
"268058007750.0","2441.3500000000004"
"269058133750.0","2461.4750000000004"
"270058222250.0","2431.45"
"271058460250.0","2431.2"
"272058702750.0","2419.2999999999997"
"273058883500.0","2430.425"
"274059039500.0","2429.65"
"275059211750.0","2430.6"
"276059449500.0","2430.6"
"277059729750.0","2417.525"
"278060020000.0","2429.875"
"279060155500.0","2431.5"
"280060278250.0","2432.55"
"281060525250.0","2432.175"
"282060686250.0","2420.25"
"283060976250.0","2432.9"
"284061158250.0","2433.075"
"285061324500.0","2480.025"
"286061589250.0","2437.2"
"287061793750.0","2425.275"
