Time (ns),Variation (uJ)
"219078876750.0","2290.925"
"220079155500.0","2291.25"
"221079579500.0","2291.025"
"222079839000.0","2291.125"
"223080115000.0","2291.7"
"224080371250.0","2292.8500000000004"
"225080621750.0","2294.2250000000004"
"226081188750.0","2294.375"
"227081375000.0","2292.625"
"228081749750.0","2292.65"
"229082109750.0","2291.9"
"230082379250.0","2292.4249999999997"
"231082902500.0","2297.375"
"232083190250.0","2298.1499999999996"
"233083566500.0","2299.3"
"234083891250.0","2299.45"
"235084156750.0","2300.15"
"236084651000.0","2300.05"
"237084889500.0","2300.075"
"238085320250.0","2300.2000000000003"
"239085682000.0","2300.25"
"240085759750.0","2299.975"
"241086402250.0","2297.55"
"242086748750.0","2296.3"
"243087048750.0","2294.875"
"244087434750.0","2295.25"
"245087724500.0","2294.325"
"246088213750.0","2294.85"
"247088499500.0","2294.475"
"248088892500.0","2295.1"
"249089256000.0","2296.175"
"250089625750.0","2295.55"
"251090119000.0","2297.0"
"252090401750.0","2296.575"
"253090902000.0","2295.225"
"254091232250.0","2298.625"
"255091479000.0","2299.2"
"256092002500.0","2302.475"
"257092318250.0","2301.0"
"258092649250.0","2303.925"
"259092959250.0","2305.225"
"260093179750.0","2304.925"
"261093598250.0","2304.85"
"262093924250.0","2304.55"
"263094320750.0","2305.7749999999996"
"264094694250.0","2299.8"
"265094986250.0","2287.975"
"266095410250.0","2259.3"
"267095747750.0","2257.375"
"268096141500.0","2259.625"
"269096520250.0","2259.275"
"270096780500.0","2262.875"
"271097207000.0","2270.4"
"272097539000.0","2280.85"
"273097905250.0","2290.9750000000004"
"274098275250.0","2297.675"
"275098575500.0","2299.925"
"276099082500.0","2301.825"
"277099484750.0","2302.6"
"278099886250.0","2302.925"
"279100294500.0","2303.425"
"280100642500.0","2304.525"
"281101149500.0","2305.2"
"282101530250.0","2305.625"
"283101932750.0","2304.325"
"284102237750.0","2305.85"
"285102461750.0","2306.5249999999996"
"286102957250.0","2305.825"
"287103167250.0","2304.875"
"288103591500.0","2304.325"
"289103877250.0","2298.5"
"290104134750.0","2296.3"
"291104661750.0","2295.7"
"292105001500.0","2295.15"
"293105408750.0","2294.325"
"294105738250.0","2293.5499999999997"
"295106049000.0","2295.6"
"296106653000.0","2296.575"
"297106946750.0","2296.0"
"298107303750.0","2296.7"
"299107694000.0","2297.25"
"300107953500.0","2296.875"
"301108406500.0","2297.0"
"302108790500.0","2299.075"
"303109152750.0","2296.35"
"304109491500.0","2297.375"
"305109707500.0","2297.525"
"306110171750.0","2296.05"
"307110547000.0","2297.025"
"308110955500.0","2297.1"
"309111245250.0","2296.825"
"310111477250.0","2296.9"
"311111875500.0","2297.9"
"312112276250.0","2297.425"
"313112609750.0","2298.0"
"314113023000.0","2297.75"
"315113222500.0","2297.8"
"316113672000.0","2298.0"
"317113990750.0","2297.55"
"318114285500.0","2297.975"
"319114613250.0","2297.75"
"320114898500.0","2297.825"
"321115393250.0","2298.0"
"322115684000.0","2297.2250000000004"
"323116133750.0","2298.425"
"324116438250.0","2298.225"
"325116727500.0","2298.325"
"326117196250.0","2298.95"
"327117578750.0","2298.0"
"328117865750.0","2297.475"
"329118202250.0","2297.7000000000003"
"330118440500.0","2297.25"
"331118974000.0","2299.525"
"332119350000.0","2299.95"
"333119675500.0","2299.75"
"334120089250.0","2299.75"
"335120353500.0","2299.4"
"336120924250.0","2300.6"
"337121299750.0","2300.15"
"338121677000.0","2300.2749999999996"
"339121981500.0","2298.9"
"340122216500.0","2299.2"
"341122667750.0","2299.65"
"342122937500.0","2299.85"
"343123277500.0","2300.2749999999996"
"344123576000.0","2298.675"
"345123833750.0","2298.2250000000004"
