Time (ns),Variation (uJ)
"221208445250.0","17079.375"
"222209360500.0","17077.774999999998"
"223210216250.0","17079.375"
"224211068250.0","17074.55"
"225211959250.0","17076.825"
"226212853750.0","17088.95"
"227213696250.0","17105.875"
"228214675500.0","17111.65"
"229215570500.0","17091.7"
"230216429750.0","17085.4"
"231217311250.0","17089.875"
"232218175500.0","17093.75"
"233219044000.0","17106.199999999997"
"234219966000.0","17110.125"
"235220840500.0","17107.85"
"236221787500.0","17115.925000000003"
"237222710750.0","17107.275"
"238223713000.0","17108.75"
"239224646000.0","17105.225"
"240225589500.0","17095.575"
"241226513750.0","17099.4"
"242227479250.0","17101.625"
"243228449750.0","17093.5"
"244229265250.0","17097.4"
"245230220750.0","17099.3"
"246231167000.0","17103.525"
"247232135750.0","17107.325"
"248233073250.0","17101.25"
"249233982250.0","17107.0"
"250234897750.0","17107.725"
"251235800000.0","17113.825"
"252236578000.0","17110.5"
"253237621500.0","17122.475"
"254238507000.0","17116.25"
"255239395000.0","17116.675"
"256240348750.0","17119.375"
"257241610500.0","17142.85"
"258242506250.0","17126.35"
"259243462500.0","17127.975"
"260244396750.0","17126.6"
"261245303250.0","17122.85"
"262246250250.0","17123.825"
"263247202000.0","17125.75"
"264248079000.0","17116.75"
"265248930500.0","17116.550000000003"
"266249780750.0","17124.9"
"267250719000.0","17124.0"
"268251651250.0","17127.575"
"269252531500.0","17117.475"
"270253389000.0","17123.324999999997"
"271254301000.0","17127.600000000002"
"272255194500.0","17123.375"
"273256114000.0","17130.825"
"274257254750.0","17127.85"
"275258154500.0","17127.8"
"276259021250.0","17127.9"
"277259908500.0","17125.75"
"278260811750.0","17133.025"
"279261762750.0","17125.075"
"280262650250.0","17131.25"
"281263477500.0","17129.45"
"282264352500.0","17120.9"
"283265271750.0","17134.6"
"284266212500.0","17129.449999999997"
"285267130250.0","17135.85"
"286267982000.0","17135.5"
"287268798500.0","17130.15"
"288269742000.0","17146.05"
"289270639750.0","17135.125"
"290271554500.0","17148.75"
"291272452000.0","17165.225"
"292273424250.0","17155.5"
"293274372000.0","17159.449999999997"
"294275350000.0","17136.55"
"295276268250.0","17144.3"
"296277187000.0","17141.0"
"297278048750.0","17134.825"
"298279002000.0","17140.025"
"299279946000.0","17137.449999999997"
"300280828250.0","17141.75"
"301281764250.0","17138.75"
"302282695250.0","17143.325"
"303283661750.0","17150.3"
"304284512000.0","17152.449999999997"
"305285391500.0","17180.7"
"306286277750.0","17165.0"
"307287184250.0","17178.9"
"308288337750.0","17173.675000000003"
"309289209250.0","17162.95"
"310290122000.0","17165.0"
"311291009500.0","17167.6"
"312291940250.0","17171.675000000003"
"313292932000.0","17177.175"
"314293880000.0","17172.675"
"315294768500.0","17168.800000000003"
"316295656250.0","17163.85"
"317296509750.0","17167.5"
"318297498250.0","17172.1"
"319298358250.0","17174.0"
"320299214000.0","17163.95"
"321300032000.0","17163.925000000003"
"322300889750.0","17169.475"
"323301902500.0","17179.725"
"324302778250.0","17186.875"
"325303659750.0","17180.275"
"326304586750.0","17179.274999999998"
"327305519250.0","17170.075"
"328306462250.0","17171.925"
"329307374750.0","17183.825"
"330308262000.0","17178.675"
"331309217000.0","17181.525"
"332310123500.0","17181.300000000003"
"333311108250.0","17180.025"
"334312093500.0","17191.7"
"335312963250.0","17183.75"
"336313876250.0","17185.4"
"337314788250.0","17182.6"
"338315756000.0","17181.325"
"339316687250.0","17189.175"
"340317609250.0","17210.074999999997"
"341318555500.0","17204.75"
"342319438500.0","17189.675"
"343320379250.0","17175.9"
"344321582500.0","17182.35"
"345322470500.0","17182.275"
"346323396500.0","17182.375"
"347324308750.0","17177.975"
"348325252750.0","17177.625"
"349326184750.0","17187.699999999997"
"350327103250.0","17188.7"
"351328025750.0","17182.625"
"352328885750.0","17178.1"
"353329941750.0","17179.1"
"354330931750.0","17180.899999999998"
"355331850250.0","17192.775"
"356332753750.0","17184.625"
"357333721000.0","17183.5"
"358334710750.0","17183.3"
"359335639500.0","17185.15"
"360336529250.0","17193.574999999997"
"361337380000.0","17183.875"
"362338302500.0","17187.325"
"363339232750.0","17187.475"
"364340117500.0","17192.875"
"365341015500.0","17210.925"
"366341914500.0","17211.875"
"367342787750.0","17219.875"
"368343729250.0","17209.025"
"369344686750.0","17196.15"
"370345552500.0","17200.5"
"371346468000.0","17198.6"
"372347367000.0","17203.325"
"373348303500.0","17194.75"
"374349227750.0","17197.550000000003"
"375350402750.0","17209.8"
"376351330250.0","17204.3"
"377352238750.0","17208.0"
"378353135500.0","17196.575"
"379353989000.0","17198.7"
"380354861000.0","17198.925000000003"
"381355694250.0","17196.425"
"382356591000.0","17200.5"
"383357544500.0","17191.675000000003"
"384358758250.0","17201.300000000003"
"385359690250.0","17202.575"
"386360711750.0","17210.25"
"387361639500.0","17206.975"
"388362613750.0","17197.95"
"389363496750.0","17199.55"
"390364385250.0","17192.025"
"391365249750.0","17198.35"
"392366100750.0","17196.525"
"393367031000.0","17190.575"
"394367960000.0","17193.3"
"395368892750.0","17188.225"
"396369763750.0","17197.7"
"397370673000.0","17195.875"
"398371578750.0","17190.725"
"399372467750.0","17196.325"
"400373417000.0","17190.025"
"401374314250.0","17203.824999999997"
"402375263500.0","17200.275"
"403376187000.0","17187.9"
"404377014000.0","17207.4"
"405377830000.0","17211.925"
"406378717000.0","17222.6"
"407379573000.0","17199.3"
"408380550750.0","17192.5"
"409381408000.0","17187.8"
"410382202250.0","17180.375"
"411383130000.0","17189.35"
"412384064750.0","17195.425000000003"
"413384982250.0","17189.9"
"414385953500.0","17181.1"
"415386868750.0","17175.925"
"416387753500.0","17182.699999999997"
"417388619500.0","17184.65"
"418389612000.0","17178.65"
"419390511250.0","17170.325"
"420391354750.0","17169.1"
"421392241250.0","17173.9"
"422393081000.0","17180.475"
"423394119000.0","17177.125"
"424395004500.0","17168.825"
"425395850250.0","17170.25"
"426396788750.0","17170.6"
"427397554250.0","17171.375"
"428398432000.0","17177.05"
"429399348000.0","17173.075"
