Time (ns),Variation (uJ)
"215064930000.0","15164.349999999999"
"216065242000.0","15164.625"
"217065500250.0","15166.525"
"218065812000.0","15159.2"
"219066095000.0","15159.45"
"220066434750.0","15157.6"
"221066693500.0","15166.3"
"222066977750.0","15167.175"
"223067255000.0","15169.75"
"224067547500.0","15091.325"
"225067789750.0","15167.400000000001"
"226068093750.0","15169.325"
"227068361250.0","15168.900000000001"
"228068631500.0","15171.675"
"229068915750.0","15172.875"
"230069191000.0","15181.550000000001"
"231069478750.0","15179.75"
"232069755750.0","15179.9"
"233069996250.0","15179.325"
"234070240750.0","15179.050000000001"
"235070544500.0","15174.249999999998"
"236070828250.0","15171.875"
"237071101000.0","15171.425000000001"
"238071306750.0","15172.949999999999"
"239071555250.0","15174.55"
"240071861000.0","15087.675000000001"
"241072152000.0","15174.025"
"242072443000.0","15174.575"
"243072653000.0","15176.474999999999"
"244072943750.0","15180.774999999998"
"245073255500.0","15171.900000000001"
"246073519250.0","15168.500000000002"
"247073796250.0","15165.325"
"248074090000.0","15155.7"
"249074363750.0","15154.675"
"250074652750.0","15146.6"
"251074948250.0","15155.9"
"252075115750.0","15158.725"
"253075320500.0","15160.774999999998"
"254075568000.0","15174.899999999998"
"255075851000.0","15172.224999999999"
"256076136750.0","15080.8"
"257076464750.0","15161.400000000001"
"258076722500.0","15160.324999999999"
"259077018500.0","15165.275"
"260077406250.0","15163.0"
"261077742000.0","15161.2"
"262078029500.0","15160.125"
"263079399000.0","15179.75"
"264079695000.0","15167.125"
"265080000750.0","15163.525000000001"
"266080355750.0","15162.075"
"267080647250.0","15162.449999999999"
"268080888250.0","15163.974999999999"
"269081189500.0","15165.65"
"270081564750.0","15164.974999999999"
"271081825000.0","15159.9"
"272082078750.0","15079.949999999999"
"273082261000.0","15163.199999999999"
"274082542250.0","15164.949999999999"
"275082866750.0","15160.599999999999"
"276083173000.0","15155.375"
"277083489250.0","15153.65"
"278083712250.0","15152.15"
"279084028000.0","15156.824999999999"
"280084386750.0","15167.074999999999"
"281084640000.0","15151.7"
"282084990500.0","15152.050000000001"
"283085195750.0","15147.075"
"284085470500.0","15156.3"
"285085777000.0","15153.0"
"286085930500.0","15151.775000000001"
"287086107500.0","15151.400000000001"
"288086307500.0","15077.925"
"289086507750.0","15155.275"
"290086863250.0","15155.9"
"291087082750.0","15153.425"
"292087492500.0","15156.75"
"293087740000.0","15156.2"
"294088065250.0","15159.45"
"295088463000.0","15162.025"
"296088834500.0","15159.4"
"297089200750.0","15156.025"
"298089535250.0","15154.925"
"299090084500.0","15159.525"
"300090407750.0","15158.175"
"301090719500.0","15154.974999999999"
"302091053500.0","15154.2"
"303091321250.0","15152.25"
"304091913750.0","15071.575"
"305092237250.0","15158.024999999998"
"306092529500.0","15156.650000000001"
"307092854500.0","15154.824999999999"
"308093049250.0","15152.35"
"309093285500.0","15153.15"
"310093581000.0","15159.000000000002"
"311093886500.0","15167.05"
"312094193000.0","15149.875"
"313094486750.0","15150.425"
"314094694750.0","15147.55"
"315094987250.0","15151.025000000001"
"316095246500.0","15153.949999999999"
"317095481750.0","15151.899999999998"
"318095632500.0","15149.65"
"319095846750.0","15154.725"
"320096134500.0","15074.525000000001"
"321096431500.0","15161.624999999998"
"322096719750.0","15158.699999999999"
"323097105250.0","15156.35"
"324097247250.0","15154.3"
"325097569000.0","15165.725"
"326097857500.0","15172.05"
"327098102000.0","15154.500000000002"
"328098269750.0","15153.825"
"329098512000.0","15155.274999999998"
"330098827000.0","15159.7"
"331099071000.0","15161.949999999999"
"332099348250.0","15162.525000000001"
"333099888750.0","15160.25"
"334100254500.0","15157.550000000001"
"335100553500.0","15158.55"
"336100864750.0","15078.175"
"337101168250.0","15163.675"
"338101388000.0","15156.399999999998"
"339101739750.0","15159.575"
"340102108750.0","15160.350000000002"
"341102383500.0","15157.624999999998"
"342102680000.0","15157.2"
"343102874250.0","15152.849999999999"
"344103124500.0","15158.075"
"345103438500.0","15162.25"
"346103703000.0","15162.175"
"347103955250.0","15172.15"
"348104171500.0","15167.85"
"349104455000.0","15165.599999999999"
"350104700250.0","15166.775000000001"
"351104958250.0","15166.825"
"352105214750.0","15090.75"
"353105695250.0","15169.95"
"354105990500.0","15164.75"
"355106279000.0","15159.925000000001"
"356106531750.0","15161.4"
"357106731000.0","15156.675"
"358106897500.0","15149.900000000001"
"359107200750.0","15153.825"
"360107506250.0","15152.150000000001"
"361107727250.0","15154.825"
"362107948750.0","15154.599999999999"
"363108187250.0","15154.275"
"364108454250.0","15155.15"
"365108733250.0","15155.2"
"366108967750.0","15152.55"
"367110110000.0","15182.525"
"368110357000.0","15076.199999999999"
"369110666500.0","15152.8"
"370110967750.0","15151.824999999999"
"371111161000.0","15152.7"
"372111479500.0","15151.724999999999"
"373111767500.0","15157.05"
"374112088000.0","15151.349999999999"
"375112423750.0","15146.85"
"376112741750.0","15145.675"
"377113019000.0","15145.6"
"378113177000.0","15144.475"
"379113483500.0","15141.375"
"380113861000.0","15142.05"
"381114118250.0","15139.5"
"382114319000.0","15137.125"
"383114507250.0","15142.15"
"384114865750.0","15055.5"
"385115202000.0","15150.075"
"386115414750.0","15149.075"
"387115661000.0","15148.475"
"388115878500.0","15143.975"
"389116179750.0","15133.475"
"390116500750.0","15134.85"
"391116792500.0","15141.824999999999"
"392117016750.0","15147.625"
"393117222750.0","15147.075"
"394117508250.0","15141.5"
"395117847750.0","15140.474999999999"
"396118098750.0","15140.474999999999"
"397118315000.0","15140.300000000001"
"398118387500.0","15143.825"
"399118626750.0","15145.325"
"400118920000.0","15063.65"
"401119221000.0","15142.825"
"402119447500.0","15143.2"
"403119618250.0","15139.4"
"404119914250.0","15148.025"
"405120102000.0","15148.350000000002"
"406120320750.0","15145.125"
"407120543750.0","15149.849999999999"
"408120771750.0","15146.525000000001"
"409121002750.0","15156.699999999999"
"410121290000.0","15147.724999999999"
"411121532750.0","15146.3"
"412122002500.0","15149.024999999998"
"413122209750.0","15163.025"
"414122464000.0","15157.15"
"415122747750.0","15146.625"
"416123017750.0","15064.475"
"417123317750.0","15134.75"
"418123508250.0","15149.974999999999"
"419123770500.0","15160.650000000001"
"420124104000.0","15154.0"
"421124274750.0","15150.875"
"422124584000.0","15156.175"
"423124788250.0","15165.699999999999"
"424125037250.0","15160.625"
"425125366250.0","15154.35"
"426125647750.0","15157.650000000001"
"427125914000.0","15146.1"
"428126112500.0","15144.475"
"429126398750.0","15146.6"
"430126758000.0","15144.225"
"431127024750.0","15140.825"
"432127315750.0","15136.824999999999"
"433127543750.0","15049.425"
"434127855000.0","15144.775"
"435128316750.0","15156.500000000002"
"436129518250.0","15165.05"
"437129843500.0","15153.974999999999"
"438130093750.0","15164.425"
"439130370250.0","15166.699999999999"
"440130640750.0","15153.249999999998"
"441130921750.0","15145.625"
"442131220750.0","15150.825"
"443131428750.0","15156.349999999999"
"444131635750.0","15175.2"
"445131884500.0","15154.150000000001"
"446132163750.0","15153.800000000001"
"447132505000.0","15158.0"
"448132748000.0","15155.45"
"449133050250.0","15052.825"
"450133332250.0","15164.349999999999"
"451133732750.0","15162.3"
"452134041750.0","15151.1"
"453134248000.0","15155.150000000001"
"454134604500.0","15164.225"
"455134906000.0","15167.375"
"456135289250.0","15153.925"
"457135601750.0","15154.400000000001"
"458135834750.0","15156.199999999999"
"459136134000.0","15159.75"
"460136413750.0","15161.45"
"461136744250.0","15160.7"
"462137007500.0","15157.724999999999"
"463137223250.0","15160.05"
"464137396500.0","15162.775"
"465137665000.0","15080.7"
"466137941250.0","15162.225"
"467138252500.0","15160.275000000001"
"468138486000.0","15155.325"
"469138704250.0","15157.425"
"470138925000.0","15151.800000000001"
"471139228500.0","15149.95"
"472139383250.0","15129.475"
"473139630000.0","15146.625"
"474139886750.0","15155.975"
"475140172750.0","15156.975"
"476140507250.0","15153.775"
"477140772250.0","15150.199999999999"
"478140996500.0","15147.349999999999"
"479141279750.0","15161.824999999999"
"480141573250.0","15185.05"
"481141858500.0","15097.65"
"482142158500.0","15172.099999999999"
"483142371500.0","15170.075"
"484142617750.0","15169.775000000001"
"485142811750.0","15172.249999999998"
"486143150750.0","15175.35"
"487143473250.0","15169.55"
"488143698250.0","15166.875"
"489143940250.0","15164.925"
"490144154000.0","15169.099999999999"
"491144414750.0","15168.375"
"492144740500.0","15166.375"
"493144978000.0","15161.925000000001"
"494145194000.0","15161.5"
"495145451500.0","15164.875"
"496145719750.0","15160.724999999999"
"497146050500.0","15080.325"
"498146235750.0","15165.225"
"499146474500.0","15166.650000000001"
"500146690250.0","15167.649999999998"
"501147135500.0","15170.05"
"502147393750.0","15164.175"
"503147630000.0","15162.025000000001"
"504148114750.0","15160.925000000001"
"505148330750.0","15158.925"
"506148578500.0","15158.150000000001"
"507148850250.0","15162.1"
"508149099250.0","15156.875"
"509149310750.0","15170.875"
"510149519750.0","15188.65"
"511149778000.0","15163.75"
"512150089000.0","15171.05"
"513150321750.0","15096.724999999999"
"514150610000.0","15192.725"
"515150822250.0","15205.975000000002"
"516151045250.0","15199.425"
"517151336500.0","15190.150000000001"
"518151624500.0","15182.05"
"519151931000.0","15178.849999999999"
"520152105000.0","15175.099999999999"
"521152288000.0","15171.425"
"522152530250.0","15169.324999999999"
"523152795000.0","15164.95"
"524153114250.0","15164.949999999999"
"525153411250.0","15160.6"
"526153670750.0","15165.900000000001"
"527153939500.0","15162.650000000001"
"528154238500.0","15165.875"
"529154544500.0","15076.324999999999"
"530154784250.0","15161.375"
"531155104000.0","15167.175"
"532155368000.0","15160.9"
"533155636750.0","15163.1"
"534155972500.0","15161.125"
"535156244250.0","15170.724999999999"
"536156521250.0","15178.575"
"537156761250.0","15159.974999999999"
"538157054000.0","15163.7"
"539157405250.0","15161.275000000001"
"540157703250.0","15161.25"
"541157938750.0","15160.375"
"542158201000.0","15163.2"
"543158450000.0","15162.400000000001"
"544158711250.0","15160.175"
"545158911750.0","15072.574999999999"
"546159459750.0","15165.725"
"547159687250.0","15162.025000000001"
"548159966000.0","15156.724999999999"
"549160188500.0","15142.499999999998"
"550160486000.0","15146.825"
"551160712500.0","15162.4"
"552160945000.0","15153.925"
"553161145250.0","15148.1"
"554161379250.0","15145.099999999999"
"555161622500.0","15145.3"
"556161896500.0","15148.55"
"557162209500.0","15149.524999999998"
"558162487250.0","15151.45"
"559162726000.0","15148.025000000001"
"560163031500.0","15149.400000000001"
"561163313000.0","15063.75"
"562163539500.0","15150.324999999999"
"563163729500.0","15150.475000000002"
"564163998750.0","15148.55"
"565164306500.0","15150.625"
"566164575250.0","15153.5"
"567164805250.0","15159.100000000002"
"568165044750.0","15153.725000000002"
"569165298500.0","15147.775"
"570165531500.0","15141.725"
"571165856750.0","15144.6"
"572166140750.0","15146.825"
"573166408500.0","15145.125"
"574166618750.0","15143.4"
"575166988500.0","15145.650000000001"
"576167273250.0","15147.800000000001"
"577167530500.0","15066.974999999999"
"578167802000.0","15148.075"
"579167976000.0","15151.550000000001"
"580168289000.0","15148.075"
"581168564500.0","15146.5"
"582168963750.0","15148.45"
"583169222750.0","15148.275"
"584169515250.0","15150.275000000001"
"585169814000.0","15148.525000000001"
"586170046250.0","15151.325"
"587170220500.0","15152.400000000001"
"588170482500.0","15158.525000000001"
"589170759500.0","15162.175000000001"
"590171036000.0","15161.675000000001"
"591171260500.0","15158.7"
"592171485750.0","15158.35"
"593171676250.0","15086.975"
"594171990000.0","15181.0"
"595172281000.0","15160.475"
"596172439500.0","15156.1"
"597172833750.0","15162.025000000001"
"598173122000.0","15164.974999999999"
"599173380000.0","15171.150000000001"
"600173628000.0","15166.625"
