Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"1000039000","801800","3581","2904.9","2904.9"
"2000440000","810500","3583","5854.7","2949.8"
"3000904000","802000","3583","8755.0","2900.3"
"4001252000","808200","3583","11654.1","2899.1"
"5001499000","811100","3581","14556.1","2902.0"
"6001997000","807800","3581","17454.7","2898.6"
"7002457000","812100","3581","20401.9","2947.2"
"8002723000","804700","3583","23299.2","2897.3"
"9003072000","802300","3584","26197.4","2898.2"
"10003195000","802100","3581","29094.3","2896.9"
"11003604000","808700","3583","31992.4","2898.1"
"12004120000","805000","3582","34939.6","2947.2"
"13004470000","802200","3580","38002.5","3062.9"
"14004823000","810300","3581","40899.4","2896.9"
"15005127000","799400","3584","43795.8","2896.4"
"16005490000","802400","3579","46694.0","2898.2"
"17005969000","796600","3582","49591.8","2897.8"
"18006501000","804600","3583","52538.5","2946.7"
"19006876000","803400","3582","55436.2","2897.7"
"20007129000","804700","3582","58333.1","2896.9"
"21007431000","804800","3581","61231.3","2898.2"
"22007892000","802400","3582","64130.3","2899.0"
"23008387000","804800","3583","67078.0","2947.7"
"24008674000","794000","3582","69975.3","2897.3"
"25008870000","802700","3580","72870.9","2895.6"
"26009233000","800000","3582","75767.3","2896.4"
"27009607000","805200","3580","78664.2","2896.9"
"28010070000","802600","3578","81610.1","2945.9"
"29010325000","800300","3581","84669.5","3059.4"
"30010455000","802200","3583","87564.7","2895.2"
"31010784000","802300","3580","90461.2","2896.5"
"32011222000","804300","3581","93358.9","2897.7"
"33011746000","807600","3581","96257.1","2898.2"
"34012004000","802300","3581","99204.7","2947.6"
"35012359000","802600","3582","102102.4","2897.7"
"36012750000","808300","3581","105001.0","2898.6"
"37013218000","803100","3582","107900.5","2899.5"
"38013674000","804500","3583","110800.0","2899.5"
"39013942000","804900","3582","113749.3","2949.3"
"40014239000","813400","3580","116647.0","2897.7"
"41014553000","802900","3580","119544.8","2897.8"
"42015045000","810400","3581","122442.1","2897.3"
"43015489000","802500","3580","125338.5","2896.4"
"44015938000","805000","3582","128284.4","2945.9"
"45016185000","804100","3582","131353.8","3069.4"
"46016636000","808000","3581","134248.9","2895.1"
"47017136000","802400","3582","137144.5","2895.6"
"48017614000","800000","3581","140038.8","2894.3"
"49017904000","804700","3582","142931.8","2893.0"
"50018271000","802500","3583","145870.4","2938.6"
"51018656000","810300","3582","148765.1","2894.7"
"52023063000","802400","3581","151670.8","2905.7"
"53023508000","802100","3585","154566.0","2895.2"
"54024033000","800500","3583","157463.3","2897.3"
"55024328000","794700","3580","160408.3","2945.0"
"56024774000","804900","3582","163303.5","2895.2"
"57025150000","802400","3581","166198.2","2894.7"
"58025751000","810300","3581","169109.3","2911.1"
"59026271000","813100","3582","172028.1","2918.8"
"60026516000","808100","3583","174992.0","2963.9"
"61027062000","802400","3582","178072.1","3080.1"
"62027600000","807800","3581","180975.0","2902.9"
"63028013000","804800","3582","183874.9","2899.9"
"64028486000","808400","3581","186769.6","2894.7"
"65028710000","802000","3582","189666.5","2896.9"
"66029056000","800100","3581","192609.8","2943.3"
"67029481000","805000","3582","195505.0","2895.2"
"68029902000","802400","3582","198399.3","2894.3"
"69030308000","803600","3581","201294.0","2894.7"
"70030640000","800500","3581","204188.7","2894.7"
"71031165000","800200","3581","207132.9","2944.2"
"72031611000","813400","3579","210046.6","2913.7"
"73032193000","810400","3581","212962.8","2916.2"
"74032486000","812900","3581","215879.0","2916.2"
"75032766000","802800","3581","218796.5","2917.5"
"76033234000","813300","3581","221763.5","2967.0"
"77033710000","814100","3579","224858.2","3094.7"
"78033967000","811800","3582","227775.3","2917.1"
"79034443000","808400","3584","230692.0","2916.7"
"80034774000","808000","3580","233609.5","2917.5"
"81035277000","810600","3580","236527.0","2917.5"
"82035799000","814300","3583","239493.5","2966.5"
"83036294000","805100","3580","242413.6","2920.1"
"84036635000","810800","3583","245334.6","2921.0"
"85036916000","816900","3579","248256.4","2921.8"
"86037435000","811000","3580","251179.1","2922.7"
"87037978000","808300","3581","254152.5","2973.4"
"88038335000","811200","3580","257075.2","2922.7"
"89038783000","813800","3582","259997.4","2922.2"
"90039028000","817100","3583","262921.0","2923.6"
"91039393000","808900","3582","265843.2","2922.2"
"92039841000","808600","3584","268815.4","2972.2"
"93040273000","810700","3582","271913.5","3098.1"
"94040768000","810600","3582","274837.5","2924.0"
"95041022000","813000","3579","277760.6","2923.1"
"96041477000","809500","3582","280683.3","2922.7"
"97041847000","811100","3580","283602.9","2919.6"
"98042307000","802200","3580","286569.1","2966.2"
"99042588000","808000","3580","289470.7","2901.6"
"100042686000","813000","3581","292384.8","2914.1"
"101043022000","810700","3580","295301.0","2916.2"
"102043512000","808300","3579","298201.7","2900.7"
"103043855000","802400","3581","301150.7","2949.0"
"104044244000","804700","3580","304050.6","2899.9"
"105044531000","802100","3583","306950.0","2899.4"
"106045002000","802000","3584","309850.3","2900.3"
"107045462000","802000","3582","312749.8","2899.5"
"108045815000","808000","3580","315697.4","2947.6"
"109046288000","808400","3581","318758.1","3060.7"
"110046473000","793700","3583","321653.7","2895.6"
"111046953000","803200","3580","324551.0","2897.3"
"112047463000","800000","3582","327447.1","2896.1"
"113047895000","802500","3580","330340.1","2893.0"
"114048246000","806000","3581","333281.7","2941.6"
"115048598000","804500","3583","336176.0","2894.3"
"116049137000","802900","3581","339071.1","2895.1"
"117049633000","811100","3583","341969.3","2898.2"
"118050078000","810500","3580","344874.3","2905.0"
"119050496000","808100","3583","347820.2","2945.9"
"120050825000","802100","3581","350715.4","2895.2"
"121051348000","810500","3583","353617.0","2901.6"
"122051866000","804900","3582","356521.6","2904.6"
"123052410000","804700","3584","359431.8","2910.2"
"124052830000","802600","3583","362394.5","2962.7"
"125053181000","804500","3581","365468.1","3073.6"
"126053699000","799600","3581","368371.0","2902.9"
"127054202000","802200","3580","371273.5","2902.5"
"128054740000","804300","3581","374172.1","2898.6"
"129055197000","802100","3581","377069.4","2897.3"
"130055369000","808300","3581","380010.1","2940.7"
"131055822000","802700","3581","382907.0","2896.9"
"132056236000","800200","3581","385800.4","2893.4"
"133056750000","810700","3582","388693.4","2893.0"
"134057172000","806200","3581","391584.3","2890.9"
"135057383000","792100","3579","394523.3","2939.0"
"136057882000","794700","3583","397413.7","2890.4"
"137058342000","801800","3583","400305.0","2891.3"
"138058763000","799700","3580","403195.0","2890.0"
"139059154000","800400","3583","406085.0","2890.0"
"140059534000","800100","3582","409023.6","2938.6"
"141059894000","802100","3580","412076.6","3053.0"
"142060413000","801400","3581","414967.5","2890.9"
"143060850000","796000","3580","417855.3","2887.8"
"144061039000","800200","3583","420742.7","2887.4"
"145061390000","802200","3583","423631.9","2889.2"
"146061870000","812300","3584","426570.5","2938.6"
"147062385000","802500","3580","429463.9","2893.4"
"148062802000","800200","3581","432353.0","2889.1"
"149063172000","804500","3582","435245.2","2892.2"
"150063540000","802600","3580","438140.8","2895.6"
"151064078000","800300","3584","441081.9","2941.1"
"152064430000","805700","3581","443981.0","2899.1"
"153064747000","804900","3580","446873.6","2892.6"
"154065087000","796100","3582","449766.1","2892.5"
"155065229000","808100","3583","452667.3","2901.2"
"156065661000","802200","3584","455619.7","2952.4"
"157066190000","802400","3582","458694.2","3074.5"
"158066642000","816900","3582","461606.1","2911.9"
"159067175000","808500","3583","464506.8","2900.7"
"160067512000","804600","3582","467400.7","2893.9"
"161068040000","804300","3581","470295.8","2895.1"
"162068553000","799800","3582","473243.0","2947.2"
"163069115000","804700","3581","476137.3","2894.3"
"164069649000","802200","3582","479032.9","2895.6"
"165069959000","802200","3581","481926.3","2893.4"
"166070408000","805000","3583","484821.1","2894.8"
"167070836000","800900","3583","487764.0","2942.9"
"168071362000","802600","3583","490661.3","2897.3"
"169071797000","804800","3583","493556.9","2895.6"
"170072198000","799900","3583","496452.9","2896.0"
"171072688000","802200","3583","499349.7","2896.8"
"172073139000","811100","3581","502295.2","2945.5"
"173073629000","808100","3583","505360.2","3065.0"
"174074174000","802500","3584","508258.0","2897.8"
"175074456000","822100","3582","511169.0","2911.0"
"176074921000","801700","3583","514078.8","2909.8"
"177075216000","811200","3584","516995.9","2917.1"
"178075817000","810700","3581","519964.6","2968.7"
"179076364000","811100","3583","522880.4","2915.8"
"180076637000","814200","3582","525797.1","2916.7"
"181077045000","813200","3583","528711.1","2914.0"
"182077589000","809900","3581","531629.5","2918.4"
"183078124000","804100","3583","534590.4","2960.9"
"184078548000","802500","3581","537504.1","2913.7"
"185078798000","810900","3584","540409.2","2905.1"
"186079303000","810500","3582","543306.5","2897.3"
"187079625000","811000","3584","546202.5","2896.0"
"188080165000","796000","3581","549150.1","2947.6"
"189080643000","812700","3579","552221.1","3071.0"
"190080935000","804800","3583","555115.0","2893.9"
"191081380000","802600","3581","558014.0","2899.0"
"192081880000","810500","3580","560909.2","2895.2"
"193082366000","800000","3581","563804.8","2895.6"
"194082882000","800100","3581","566748.5","2943.7"
"195083188000","803000","3580","569642.8","2894.3"
"196083728000","804800","3580","572535.4","2892.6"
"197084258000","805600","3583","575428.8","2893.4"
"198084755000","802200","3581","578323.5","2894.7"
"199085134000","804900","3581","581266.0","2942.5"
"200085279000","804600","3581","584159.5","2893.5"
"201085696000","800000","3579","587052.9","2893.4"
"202086088000","804700","3583","589946.3","2893.4"
"203086494000","810400","3583","592839.4","2893.1"
"204086821000","802200","3580","595778.8","2939.4"
"205086956000","794000","3582","598833.1","3054.3"
"206087429000","805000","3584","601724.4","2891.3"
"207087860000","802200","3582","604616.1","2891.7"
"208088367000","811200","3581","607508.7","2892.6"
"209088814000","793800","3584","610401.2","2892.5"
"210089234000","805400","3581","613340.7","2939.5"
"211089673000","804700","3583","616233.3","2892.6"
"212090097000","802000","3582","619126.7","2893.4"
"213090453000","805000","3580","622019.7","2893.0"
"214090903000","799900","3580","624914.4","2894.7"
"215091101000","802300","3582","627856.9","2942.5"
"216091606000","800300","3582","630752.5","2895.6"
"217091955000","804900","3582","633647.7","2895.2"
"218092291000","805200","3584","636542.4","2894.7"
"219092721000","804800","3583","639439.7","2897.3"
"220092973000","804400","3583","642383.0","2943.3"
"221093385000","796900","3579","645441.6","3058.6"
"222093781000","802900","3580","648336.8","2895.2"
"223094263000","802900","3581","651232.8","2896.0"
"224094750000","793500","3584","654129.7","2896.9"
"225094986000","804700","3582","657025.7","2896.0"
"226095428000","807600","3582","659971.2","2945.5"
"227095873000","802500","3582","662869.7","2898.5"
"228096302000","802400","3581","665768.3","2898.6"
"229096759000","801900","3582","668667.4","2899.1"
"230096987000","802200","3582","671563.4","2896.0"
"231097527000","802400","3580","674508.0","2944.6"
"232097858000","808200","3580","677404.0","2896.0"
"233098399000","805800","3580","680299.6","2895.6"
"234098846000","809300","3582","683196.9","2897.3"
"235099159000","802300","3580","686092.5","2895.6"
"236099639000","800000","3581","689037.5","2945.0"
"237100176000","801900","3582","692112.0","3074.5"
"238100754000","804200","3582","695008.0","2896.0"
"239101127000","805100","3581","697904.9","2896.9"
"240101360000","802900","3581","700800.9","2896.0"
"241101767000","801500","3582","703697.4","2896.5"
"242102253000","808400","3582","706642.0","2944.6"
"243102846000","808100","3582","709538.0","2896.0"
"244103383000","801400","3583","712433.6","2895.6"
"245103604000","802500","3579","715327.9","2894.3"
"246104132000","799800","3582","718224.3","2896.4"
"247104605000","802100","3581","721169.4","2945.1"
"248105074000","800000","3580","724067.1","2897.7"
"249105455000","802600","3579","726964.4","2897.3"
"250105690000","802900","3583","729863.0","2898.6"
"251106095000","802200","3581","732760.3","2897.3"
"252106511000","808400","3584","735706.7","2946.4"
"253106903000","803000","3582","738780.3","3073.6"
"254107455000","805700","3583","741680.2","2899.9"
"255107626000","810300","3582","744583.1","2902.9"
"256108105000","807700","3580","747483.0","2899.9"
"257108535000","810900","3583","750381.6","2898.6"
"258109086000","802000","3583","753328.7","2947.1"
"259109568000","800500","3581","756225.6","2896.9"
"260109847000","802500","3582","759122.9","2897.3"
"261110379000","802500","3582","762019.8","2896.9"
"262110890000","802000","3581","764918.8","2899.0"
"263111393000","802500","3581","767865.6","2946.8"
"264111778000","805200","3580","770765.5","2899.9"
"265112160000","804800","3582","773664.1","2898.6"
"266112674000","804200","3582","776561.0","2896.9"
"267113192000","810800","3585","779455.7","2894.7"
"268113753000","807800","3583","782399.0","2943.3"
"269114211000","804100","3580","785470.9","3071.9"
"270114448000","804700","3582","788369.9","2899.0"
"271114968000","811100","3583","791268.9","2899.0"
"272115469000","805100","3582","794167.5","2898.6"
"273115629000","811300","3582","797065.3","2897.8"
"274116165000","808300","3583","800014.6","2949.3"
"275116385000","804600","3581","802918.4","2903.8"
"276116848000","803700","3584","805820.9","2902.5"
"277117423000","793500","3582","808722.0","2901.1"
"278118003000","801700","3583","811622.3","2900.3"
"279118269000","811300","3581","814573.4","2951.1"
"280118399000","802400","3580","817478.5","2905.1"
"281118844000","807900","3581","820382.2","2903.7"
"282119166000","804200","3581","823285.1","2902.9"
"283119685000","805100","3584","826188.9","2903.8"
"284120128000","807800","3582","829141.7","2952.8"
"285120431000","821900","3582","832224.8","3083.1"
"286120930000","810500","3580","835129.8","2905.0"
"287121440000","802100","3579","838037.9","2908.1"
"288121599000","810400","3578","840942.5","2904.6"
"289122069000","813700","3584","843853.6","2911.1"
"290122461000","810800","3583","846820.1","2966.5"
"291122746000","804600","3583","849733.8","2913.7"
"292122999000","816700","3584","852641.8","2908.0"
"293123431000","802000","3582","855554.2","2912.4"
"294122941000","817700","3585","858471.8","2917.6"
"295122978000","814100","3581","861441.8","2970.0"
"296123099000","802100","3581","864365.8","2924.0"
"297123353000","808900","3584","867283.7","2917.9"
"298123810000","808400","3583","870196.9","2913.2"
"299124259000","812900","3582","873114.0","2917.1"
"300124311000","811300","3581","876086.2","2972.2"
"301124656000","812900","3580","879167.5","3081.3"
"302124949000","804900","3583","882078.2","2910.7"
